Price,Close
Ticker,AAPL
Date,
2018-01-02,40.304176330566406
2018-01-03,40.297149658203125
2018-01-04,40.484336853027344
2018-01-05,40.94524383544922
2018-01-08,40.79317092895508
2018-01-09,40.78850555419922
2018-01-10,40.779136657714844
2018-01-11,41.010780334472656
2018-01-12,41.43425750732422
2018-01-16,41.22369384765625
2018-01-17,41.904563903808594
2018-01-18,41.94198989868164
2018-01-19,41.75480651855469
2018-01-22,41.4132080078125
2018-01-23,41.422569274902344
2018-01-24,40.762760162353516
2018-01-25,40.03510665893555
2018-01-26,40.12869644165039
2018-01-29,39.298091888427734
2018-01-30,39.06646728515625
2018-01-31,39.17408752441406
2018-02-01,39.2559814453125
2018-02-02,37.55265426635742
2018-02-05,36.61442184448242
2018-02-06,38.144596099853516
2018-02-07,37.32804870605469
2018-02-08,36.3009033203125
2018-02-09,36.74490737915039
2018-02-12,38.22494888305664
2018-02-13,38.60787582397461
2018-02-14,39.319705963134766
2018-02-15,40.64000701904297
2018-02-16,40.5084342956543
2018-02-20,40.37217712402344
2018-02-21,40.188941955566406
2018-02-22,40.52488708496094
2018-02-23,41.22966384887695
2018-02-26,42.04486083984375
2018-02-27,41.908599853515625
2018-02-28,41.84517288208008
2018-03-01,41.11219024658203
2018-03-02,41.39645767211914
2018-03-05,41.539764404296875
2018-03-06,41.50452423095703
2018-03-07,41.11924743652344
2018-03-08,41.567962646484375
2018-03-09,42.28213119506836
2018-03-12,42.690914154052734
2018-03-13,42.27977752685547
2018-03-14,41.920345306396484
2018-03-15,41.969688415527344
2018-03-16,41.82168960571289
2018-03-19,41.182682037353516
2018-03-20,41.168575286865234
2018-03-21,40.23592758178711
2018-03-22,39.66740798950195
2018-03-23,38.748836517333984
2018-03-26,40.58831024169922
2018-03-27,39.547584533691406
2018-03-28,39.11063003540039
2018-03-29,39.41603469848633
2018-04-02,39.15761184692383
2018-04-03,39.55934143066406
2018-04-04,40.315799713134766
2018-04-05,40.595367431640625
2018-04-06,39.55698776245117
2018-04-09,39.94932174682617
2018-04-10,40.701072692871094
2018-04-11,40.51078796386719
2018-04-12,40.910160064697266
2018-04-13,41.048770904541016
2018-04-16,41.304840087890625
2018-04-17,41.87336349487305
2018-04-18,41.77939987182617
2018-04-19,40.595367431640625
2018-04-20,38.93207931518555
2018-04-23,38.81932067871094
2018-04-24,38.278987884521484
2018-04-25,38.445777893066406
2018-04-26,38.579689025878906
2018-04-27,38.13332748413086
2018-04-30,38.824012756347656
2018-05-01,39.726139068603516
2018-05-02,41.48103713989258
2018-05-03,41.55622100830078
2018-05-04,43.186614990234375
2018-05-07,43.499053955078125
2018-05-08,43.708133697509766
2018-05-09,44.015892028808594
2018-05-10,44.6454963684082
2018-05-11,44.4756965637207
2018-05-14,44.371925354003906
2018-05-15,43.968658447265625
2018-05-16,44.37901306152344
2018-05-17,44.09836959838867
2018-05-18,43.93800354003906
2018-05-21,44.24930953979492
2018-05-22,44.13846969604492
2018-05-23,44.42145919799805
2018-05-24,44.371925354003906
2018-05-25,44.47335433959961
2018-05-29,44.31296920776367
2018-05-30,44.21865463256836
2018-05-31,44.070064544677734
2018-06-01,44.86482620239258
2018-06-04,45.23979568481445
2018-06-05,45.588829040527344
2018-06-06,45.74684524536133
2018-06-07,45.62421417236328
2018-06-08,45.20914077758789
2018-06-11,45.09828567504883
2018-06-12,45.345924377441406
2018-06-13,44.97330856323242
2018-06-14,44.99689483642578
2018-06-15,44.53466033935547
2018-06-18,44.511077880859375
2018-06-19,43.79177474975586
2018-06-20,43.98280715942383
2018-06-21,43.737552642822266
2018-06-22,43.61019515991211
2018-06-25,42.9616584777832
2018-06-26,43.49462890625
2018-06-27,43.43095397949219
2018-06-28,43.746978759765625
2018-06-29,43.654998779296875
2018-07-02,44.14316940307617
2018-07-03,43.374366760253906
2018-07-05,43.7234001159668
2018-07-06,44.32948684692383
2018-07-09,44.94499969482422
2018-07-10,44.89076614379883
2018-07-11,44.30826950073242
2018-07-12,45.05113983154297
2018-07-13,45.121891021728516
2018-07-16,45.0228385925293
2018-07-17,45.15018081665039
2018-07-18,44.902557373046875
2018-07-19,45.25159454345703
2018-07-20,45.1478271484375
2018-07-23,45.18791198730469
2018-07-24,45.51573181152344
2018-07-25,45.944950103759766
2018-07-26,45.801082611083984
2018-07-27,45.03935241699219
2018-07-30,44.78699493408203
2018-07-31,44.87662124633789
2018-08-01,47.52029800415039
2018-08-02,48.90934753417969
2018-08-03,49.05086135864258
2018-08-06,49.30556106567383
2018-08-07,48.843318939208984
2018-08-08,48.876338958740234
2018-08-09,49.260746002197266
2018-08-10,49.11402130126953
2018-08-13,49.43113708496094
2018-08-14,49.639408111572266
2018-08-15,49.755367279052734
2018-08-16,50.484291076660156
2018-08-17,51.49245834350586
2018-08-20,50.9907341003418
2018-08-21,50.891334533691406
2018-08-22,50.89371109008789
2018-08-23,50.997833251953125
2018-08-24,51.15639877319336
2018-08-27,51.577659606933594
2018-08-28,51.99416732788086
2018-08-29,52.77040100097656
2018-08-30,53.25556945800781
2018-08-31,53.870880126953125
2018-09-04,54.043643951416016
2018-09-05,53.691009521484375
2018-09-06,52.7988166809082
2018-09-07,52.37282180786133
2018-09-10,51.669952392578125
